date,return
2014-01-31 13:59:00,0.0
2014-01-31 14:59:00,0.0
2014-01-31 15:59:00,0.0
2014-01-31 16:59:00,0.0
2014-01-31 17:59:00,0.0
2014-01-31 18:59:00,0.0
2014-01-31 19:59:00,0.0
2014-02-03 11:59:00,0.0
2014-02-03 12:59:00,0.0
2014-02-03 13:59:00,0.0
2014-02-03 14:59:00,0.0
2014-02-03 15:59:00,0.0
2014-02-03 16:59:00,0.0
2014-02-03 17:59:00,0.0
2014-02-03 18:59:00,0.0
2014-02-03 19:59:00,0.0
2014-02-04 11:59:00,0.0
2014-02-04 12:59:00,0.0
2014-02-04 13:59:00,0.0
2014-02-04 14:59:00,0.0
2014-02-04 15:59:00,0.0
2014-02-04 16:59:00,0.0
2014-02-04 17:59:00,0.0
2014-02-04 18:59:00,0.0
2014-02-04 19:59:00,0.0
2014-02-05 11:59:00,0.0
2014-02-05 12:59:00,0.0
2014-02-05 13:59:00,0.0
2014-02-05 14:59:00,0.0
2014-02-05 15:59:00,0.0
2014-02-05 16:59:00,0.0
2014-02-05 17:59:00,0.0
2014-02-05 18:59:00,0.0
2014-02-05 19:59:00,0.0
2014-02-06 11:59:00,0.0
2014-02-06 12:59:00,0.0
2014-02-06 13:59:00,0.0
2014-02-06 14:59:00,0.0
2014-02-06 15:59:00,0.0
2014-02-06 16:59:00,0.0
2014-02-06 17:59:00,0.0
2014-02-06 18:59:00,0.0
2014-02-06 19:59:00,0.0
2014-02-07 11:59:00,0.0
2014-02-07 12:59:00,0.0
2014-02-07 13:59:00,0.0
2014-02-07 14:59:00,0.0
2014-02-07 15:59:00,0.0
2014-02-07 16:59:00,0.0
2014-02-07 17:59:00,0.0
2014-02-07 18:59:00,0.0
2014-02-07 19:59:00,0.0
2014-02-10 11:59:00,0.0
2014-02-10 12:59:00,0.0010124799999999823
2014-02-10 13:59:00,0.0010988873984867364
2014-02-10 14:59:00,0.0013970487624304084
2014-02-10 15:59:00,0.0020926496100974745
2014-02-10 16:59:00,0.0015910701506010039
2014-02-10 17:59:00,0.0006949874171535697
2014-02-10 18:59:00,0.0029764489075481126
2014-02-10 19:59:00,0.002769774886941745
2014-02-11 11:59:00,-0.0019729460171981072
2014-02-11 12:59:00,-0.0011861077368543471
2014-02-11 13:59:00,-0.003364629400717356
2014-02-11 14:59:00,-0.0026809319252999453
2014-02-11 15:59:00,-0.0024890172611157224
2014-02-11 16:59:00,0.0018963732241363829
2014-02-11 17:59:00,0.0011954423997595498
2014-02-11 18:59:00,0.0021890275432201456
2014-02-11 19:59:00,0.0
2014-02-12 11:59:00,-0.007148442005007749
2014-02-12 12:59:00,0.0009999875201558428
2014-02-12 13:59:00,-0.0010988873984868475
2014-02-12 14:59:00,-0.002500218819151079
2014-02-12 15:59:00,0.0043111552003038955
2014-02-12 16:59:00,0.003993161790297517
2014-02-12 17:59:00,-0.0013920479539042407
2014-02-12 18:59:00,9.957060376253324e-05
2014-02-12 19:59:00,-0.00028430550763369755
2014-02-13 11:59:00,0.0
2014-02-13 12:59:00,0.0
2014-02-13 13:59:00,0.0
2014-02-13 14:59:00,0.001209169852751213
2014-02-13 15:59:00,0.00029840618867393864
2014-02-13 16:59:00,0.00188934207023439
2014-02-13 17:59:00,0.0014887730433779112
2014-02-13 18:59:00,0.003072223779035932
2014-02-13 19:59:00,0.0011856054691505857
2014-02-14 11:59:00,-0.004934172805863168
2014-02-14 12:59:00,0.0014875918771453112
2014-02-14 13:59:00,-0.002475637057664515
2014-02-14 14:59:00,-0.001290526144332449
2014-02-14 15:59:00,-0.001093394715054763
2014-02-14 16:59:00,-0.0038808245355040905
2014-02-14 17:59:00,0.0002996880008161451
2014-02-14 18:59:00,0.0011983928593042315
2014-02-14 19:59:00,-0.0006982257525048885
2014-02-17 11:59:00,-0.008384563348110996
2014-02-17 12:59:00,-0.002617165780984254
2014-02-17 13:59:00,-0.0008073948649767182
2014-02-17 14:59:00,0.0019191122857245002
2014-02-17 15:59:00,-0.0016129990301440023
2014-02-17 16:59:00,0.0006058518747904529
2014-02-17 17:59:00,0.0035319960698370068
2014-02-17 18:59:00,0.0
